source,target,type,capacity
NKG,HAK,Directed,184
CGQ,NKG,Directed,184
NKG,KWE,Directed,184
HFE,LHW,Directed,184
DLC,WUX,Directed,184
RGN,CAN,Directed,184
HRB,WNZ,Directed,184
SHE,CGO,Directed,184
CVG,SEA,Directed,309
SJO,MIA,Directed,309
BDL,CVG,Directed,309
MUC,BIO,Directed,184
OTP,MUC,Directed,184
LJU,TRD,Directed,184
GOT,MUC,Directed,184
LJU,SKP,Directed,184
VIE,KIV,Directed,184
TIA,FRA,Directed,184
PRN,VIE,Directed,184
LJU,ZRH,Directed,184
ATH,BOD,Directed,184
ZRH,ATH,Directed,184
MXP,ATH,Directed,184
PRG,ATH,Directed,184
BRU,ATH,Directed,184
TXL,ATH,Directed,184
BCN,ATH,Directed,184
CPH,ATH,Directed,184
STR,ATH,Directed,184
CDG,ATH,Directed,184
NCE,ATH,Directed,184
LGW,ATH,Directed,184
ATH,LCA,Directed,184
ATH,TLS,Directed,184
ATH,LYS,Directed,184
AMS,ATH,Directed,184
ATH,CDG,Directed,184
ATH,RHO,Directed,184
ATH,LHR,Directed,184
SXF,SPU,Directed,184
DUS,SKG,Directed,184
ATH,HAM,Directed,184
ATH,MRS,Directed,184
DUS,ATH,Directed,184
MAD,ATH,Directed,184
EDI,ATH,Directed,184
SKG,RHO,Directed,184
LAX,DUB,Directed,309
AGP,ORK,Directed,184
BCN,DUB,Directed,184
GVA,DUB,Directed,184
TXL,DUB,Directed,184
FCO,DUB,Directed,184
LIN,DUB,Directed,184
VIE,DUB,Directed,184
DUB,JFK,Directed,309
ORK,CDG,Directed,184
MAD,DUB,Directed,184
LHR,BHD,Directed,184
DUB,SCQ,Directed,184
DUB,LCY,Directed,184
DUB,ORD,Directed,309
DUB,BOS,Directed,309
AGP,DUB,Directed,184
LIS,DUB,Directed,184
LHR,DUB,Directed,184
ORK,LHR,Directed,184
SNN,BOS,Directed,184
DUB,BHX,Directed,184
DUB,LYS,Directed,184
BRS,DUB,Directed,184
EDI,DUB,Directed,184
DUB,LHR,Directed,184
DUB,KIR,Directed,184
LHR,DUB,Directed,184
SOU,ORK,Directed,184
DUB,MAN,Directed,184
AMS,DUB,Directed,184
BKK,SVO,Directed,309
PVG,SVO,Directed,309
HKG,SVO,Directed,309
HAN,SVO,Directed,309
VVO,SVO,Directed,309
SGN,SVO,Directed,309
SVO,BKK,Directed,309
CAN,SVO,Directed,309
NRT,SVO,Directed,309
KHV,SVO,Directed,309
SVO,HAV,Directed,309
ICN,SVO,Directed,309
HKT,SVO,Directed,309
BKK,SVO,Directed,309
SVO,PVG,Directed,309
MLE,SVO,Directed,309
SVO,JFK,Directed,309
SVO,MIA,Directed,309
SVO,FCO,Directed,184
SVO,DXB,Directed,184
SVO,KJA,Directed,184
IST,SVO,Directed,184
SVO,LAX,Directed,309
SVO,MXP,Directed,184
SVO,PEK,Directed,309
VRN,SVO,Directed,184
SVO,TFS,Directed,309
OVB,SVO,Directed,184
SVO,DUS,Directed,184
OMS,SVO,Directed,184
SVO,IST,Directed,184
SGC,SVO,Directed,184
SVO,AYT,Directed,184
TLV,SVO,Directed,184
ZAG,SVO,Directed,184
ALA,SVO,Directed,184
FRA,SVO,Directed,184
FCO,SVO,Directed,184
SIP,SVO,Directed,184
AER,SVO,Directed,184
SVO,PEE,Directed,184
SVO,CDG,Directed,184
OGZ,SVO,Directed,184
MAD,SVO,Directed,184
SVO,BCN,Directed,184
SVO,PRG,Directed,184
SVO,SVX,Directed,184
SVO,AER,Directed,184
TAS,SVO,Directed,309
OTP,SVO,Directed,184
LHR,SVO,Directed,184
SVO,MRV,Directed,184
LJU,SVO,Directed,184
LYS,SVO,Directed,184
STW,SVO,Directed,184
NAP,SVO,Directed,184
BLQ,SVO,Directed,184
MXP,SVO,Directed,184
STR,SVO,Directed,184
SVO,LCA,Directed,184
VOG,SVO,Directed,184
SVO,LED,Directed,184
SOF,SVO,Directed,184
VLC,SVO,Directed,184
SVO,NAL,Directed,184
FRU,SVO,Directed,184
SXF,SVO,Directed,184
TJM,SVO,Directed,184
SVO,ROV,Directed,184
ATH,SVO,Directed,184
SVO,VIE,Directed,184
AER,SVO,Directed,184
SVO,CEK,Directed,184
KZN,SVO,Directed,184
CDG,SVO,Directed,184
SVO,KRR,Directed,184
SVO,TJM,Directed,184
BRU,SVO,Directed,184
SVO,TLV,Directed,184
ULV,SVO,Directed,184
SVO,UFA,Directed,184
EGO,SVO,Directed,184
TLV,SVO,Directed,309
SVO,KUF,Directed,184
OVB,SVO,Directed,184
MRV,SVO,Directed,184
ARH,SVO,Directed,184
SVO,SIP,Directed,184
LED,SVO,Directed,184
HAM,SVO,Directed,184
IKT,SVO,Directed,184
TSE,SVO,Directed,184
SVO,VOG,Directed,184
VCE,SVO,Directed,184
SVO,MXP,Directed,184
SVO,AMS,Directed,184
SVO,JFK,Directed,309
SVO,DUS,Directed,184
TIV,SVO,Directed,184
BUD,SVO,Directed,184
IST,SVO,Directed,184
SVO,CDG,Directed,184
AGP,SVO,Directed,184
SVO,AAQ,Directed,184
FCO,SVO,Directed,184
SVO,LHR,Directed,184
BEG,SVO,Directed,184
VIE,SVO,Directed,184
SVO,MUC,Directed,184
SVO,PRG,Directed,184
ZRH,SVO,Directed,184
ARN,SVO,Directed,184
SVO,BOJ,Directed,184
SVO,IGT,Directed,184
MSQ,SVO,Directed,184
ALC,SVO,Directed,184
CPH,SVO,Directed,184
SVO,BRU,Directed,184
SVO,NBC,Directed,184
WAW,SVO,Directed,184
SVO,LED,Directed,184
HAJ,SVO,Directed,184
SVO,DEL,Directed,309
OSL,SVO,Directed,184
MUC,SVO,Directed,184
GVA,SVO,Directed,184
SVO,FRA,Directed,184
GYD,SVO,Directed,184
NCE,SVO,Directed,184
PRG,SVO,Directed,184
EVN,SVO,Directed,184
LED,SVO,Directed,184
MSQ,SVO,Directed,184
LCA,SVO,Directed,184
SVO,SKX,Directed,184
AMS,SVO,Directed,309
SVO,MCX,Directed,184
NUX,SVO,Directed,184
SVO,REN,Directed,184
SVO,SXF,Directed,184
BAX,SVO,Directed,184
NJC,SVO,Directed,184
AER,SVO,Directed,184
EZE,FCO,Directed,309
EZE,JFK,Directed,309
EZE,MAD,Directed,309
EZE,BOG,Directed,309
GRU,AEP,Directed,184
LEJ,CVG,Directed,309
LEJ,BKK,Directed,309
BLR,LEJ,Directed,309
LEJ,PVG,Directed,309
DXB,LEJ,Directed,309
HKG,LEJ,Directed,309
LEJ,NRT,Directed,309
CVG,EMA,Directed,309
BAH,HKG,Directed,309
ACA,MEX,Directed,184
GDL,PBC,Directed,184
MEX,EZE,Directed,309
MTY,ICN,Directed,309
MEX,AMS,Directed,309
MEX,LHR,Directed,309
MEX,CDG,Directed,309
NRT,MEX,Directed,309
MEX,NRT,Directed,309
MEX,YVR,Directed,184
YVR,MEX,Directed,184
ORD,GDL,Directed,184
PVG,MEX,Directed,309
CUN,MEX,Directed,184
CUN,MEX,Directed,184
MEX,MID,Directed,184
SJO,MEX,Directed,184
MEX,CUU,Directed,184
MTY,MEX,Directed,184
GDL,TIJ,Directed,184
TRC,MEX,Directed,184
MEX,CEN,Directed,184
MEX,CME,Directed,184
VSA,MEX,Directed,184
ZCL,MEX,Directed,184
MEX,AGU,Directed,184
VER,MEX,Directed,184
MTY,BJX,Directed,184
MEX,CUN,Directed,184
AGU,MEX,Directed,184
BJX,MTY,Directed,184
TGZ,MEX,Directed,184
PVR,MEX,Directed,184
DGO,MEX,Directed,184
QRO,MTY,Directed,184
MEX,TRC,Directed,184
MEX,MTY,Directed,184
MEX,VER,Directed,184
TAP,MEX,Directed,184
MEX,MTT,Directed,184
GDL,ATL,Directed,184
SHV,GDC,Directed,11
SHV,GDC,Directed,11
SHV,SLW,Directed,184
CVG,MEX,Directed,309
LAX,MEX,Directed,309
PEK,ORY,Directed,309
TLS,ALG,Directed,184
ORY,OPO,Directed,184
MRS,QSF,Directed,184
AMM,ALG,Directed,184
ALG,IST,Directed,184
ORY,ORN,Directed,184
LYS,QSF,Directed,184
TLS,ORN,Directed,184
ALG,ORY,Directed,309
ALG,GVA,Directed,184
LYS,ALG,Directed,184
ORY,ALG,Directed,184
BEY,ALG,Directed,184
PTP,PUJ,Directed,184
SHJ,CGP,Directed,184
SHJ,KRT,Directed,184
SHJ,TRV,Directed,184
SHJ,BEY,Directed,184
SHJ,CMB,Directed,184
SHJ,CAI,Directed,184
SHJ,COK,Directed,184
SHJ,KTM,Directed,184
SHJ,EVN,Directed,184
SHJ,GIZ,Directed,184
BSL,CMN,Directed,184
BLQ,CMN,Directed,184
MUC,AGA,Directed,184
AMS,FEZ,Directed,184
SHJ,JED,Directed,184
MHD,SHJ,Directed,184
CDG,RAK,Directed,184
IKA,SHJ,Directed,184
SHJ,RUH,Directed,184
NAP,CMN,Directed,184
SHJ,DAC,Directed,184
NBO,SHJ,Directed,184
DME,SHJ,Directed,184
SHJ,KWI,Directed,184
SHJ,BGW,Directed,184
SXB,FEZ,Directed,184
BRU,TNG,Directed,184
SHJ,ELQ,Directed,184
HBE,SHJ,Directed,184
MED,SHJ,Directed,184
MCT,SHJ,Directed,184
JED,RKT,Directed,184
KHI,SHJ,Directed,184
SHJ,KTM,Directed,184
SHJ,SLL,Directed,184
RUH,HBE,Directed,184
SHJ,DMM,Directed,184
TIF,SHJ,Directed,184
SHJ,BOM,Directed,184
SHJ,HAS,Directed,184
BKK,ALA,Directed,184
TSE,LHR,Directed,184
TSE,FRA,Directed,184
AMS,GUW,Directed,184
ALA,LED,Directed,184
ALA,TSE,Directed,184
ALA,FRU,Directed,184
LGW,RIX,Directed,184
RIX,MAD,Directed,184
ARN,RIX,Directed,184
RIX,PLQ,Directed,184
HEL,RIX,Directed,184
VIE,TLL,Directed,184
DXB,LHR,Directed,309
PUS,REP,Directed,184
GMP,PUS,Directed,184
FUK,PUS,Directed,184
PUS,GMP,Directed,184
PUS,DAD,Directed,184
PUS,CEB,Directed,184
JED,HBE,Directed,184
ATZ,JED,Directed,184
RUH,HMB,Directed,184
SYD,YVR,Directed,309
DEL,YVR,Directed,309
BNE,YVR,Directed,309
YYZ,BOM,Directed,309
YYZ,DEL,Directed,309
YVR,YXE,Directed,184
YYZ,GRU,Directed,309
YVR,MEL,Directed,309
YVR,BNE,Directed,309
YVR,SYD,Directed,309
HKG,YYZ,Directed,309
YVR,DEL,Directed,309
LHR,YYZ,Directed,309
BRU,YUL,Directed,309
FRA,YUL,Directed,309
FRA,YYZ,Directed,309
ICN,YVR,Directed,309
NRT,YVR,Directed,309
HND,YYZ,Directed,309
YYT,YYZ,Directed,184
PVG,YVR,Directed,309
OGG,YVR,Directed,184
FCO,YYZ,Directed,309
TLV,YYZ,Directed,309
DUB,YYZ,Directed,309
AMS,YYZ,Directed,309
TPE,YVR,Directed,309
PEK,YVR,Directed,309
PVG,YUL,Directed,309
PVG,YYZ,Directed,309
YHZ,YYZ,Directed,184
CDG,YYZ,Directed,309
BOS,YYZ,Directed,184
LHR,YYT,Directed,184
YFC,YOW,Directed,184
EWR,YYZ,Directed,184
MUC,YYZ,Directed,309
TLV,YUL,Directed,309
RDU,YYZ,Directed,184
PEK,YYZ,Directed,309
YQB,YYZ,Directed,184
YHZ,YUL,Directed,184
ATL,YYZ,Directed,184
YYZ,ORD,Directed,184
YUL,LGA,Directed,184
YUL,YTZ,Directed,184
YOW,EWR,Directed,184
YOW,EWR,Directed,184
CMH,YYZ,Directed,184
