source,target,type,capacity
MM,CN,Directed,184
CR,US,Directed,309
DE,ES,Directed,184
RO,DE,Directed,184
SI,NO,Directed,184
SE,DE,Directed,184
SI,MK,Directed,184
AT,MD,Directed,184
AL,DE,Directed,184
KS,AT,Directed,184
SI,CH,Directed,184
GR,FR,Directed,184
CH,GR,Directed,184
IT,GR,Directed,184
CZ,GR,Directed,184
BE,GR,Directed,184
DE,GR,Directed,184
ES,GR,Directed,184
DK,GR,Directed,184
DE,GR,Directed,184
FR,GR,Directed,184
FR,GR,Directed,184
GB,GR,Directed,184
GR,CY,Directed,184
GR,FR,Directed,184
GR,FR,Directed,184
NL,GR,Directed,184
GR,FR,Directed,184
GR,GB,Directed,184
DE,HR,Directed,184
DE,GR,Directed,184
GR,DE,Directed,184
GR,FR,Directed,184
DE,GR,Directed,184
ES,GR,Directed,184
GB,GR,Directed,184
US,IE,Directed,309
ES,IE,Directed,184
ES,IE,Directed,184
CH,IE,Directed,184
DE,IE,Directed,184
IT,IE,Directed,184
IT,IE,Directed,184
AT,IE,Directed,184
IE,US,Directed,309
IE,FR,Directed,184
ES,IE,Directed,184
IE,ES,Directed,184
IE,GB,Directed,184
IE,US,Directed,309
IE,US,Directed,309
ES,IE,Directed,184
PT,IE,Directed,184
GB,IE,Directed,184
IE,GB,Directed,184
IE,US,Directed,184
IE,GB,Directed,184
IE,FR,Directed,184
GB,IE,Directed,184
GB,IE,Directed,184
IE,GB,Directed,184
GB,IE,Directed,184
GB,IE,Directed,184
IE,GB,Directed,184
NL,IE,Directed,184
TH,RU,Directed,309
CN,RU,Directed,309
HK,RU,Directed,309
VN,RU,Directed,309
VN,RU,Directed,309
RU,TH,Directed,309
CN,RU,Directed,309
JP,RU,Directed,309
RU,CU,Directed,309
KR,RU,Directed,309
TH,RU,Directed,309
TH,RU,Directed,309
RU,CN,Directed,309
MV,RU,Directed,309
RU,US,Directed,309
RU,US,Directed,309
RU,IT,Directed,184
RU,AE,Directed,184
TR,RU,Directed,184
RU,US,Directed,309
RU,IT,Directed,184
RU,CN,Directed,309
IT,RU,Directed,184
RU,ES,Directed,309
RU,DE,Directed,184
RU,TR,Directed,184
RU,TR,Directed,184
IL,RU,Directed,184
HR,RU,Directed,184
KZ,RU,Directed,184
DE,RU,Directed,184
IT,RU,Directed,184
UA,RU,Directed,184
RU,FR,Directed,184
ES,RU,Directed,184
RU,ES,Directed,184
RU,CZ,Directed,184
UZ,RU,Directed,309
RO,RU,Directed,184
GB,RU,Directed,184
SI,RU,Directed,184
FR,RU,Directed,184
IT,RU,Directed,184
IT,RU,Directed,184
IT,RU,Directed,184
DE,RU,Directed,184
RU,CY,Directed,184
BG,RU,Directed,184
ES,RU,Directed,184
KG,RU,Directed,184
DE,RU,Directed,184
GR,RU,Directed,184
RU,AT,Directed,184
FR,RU,Directed,184
BE,RU,Directed,184
RU,IL,Directed,184
IL,RU,Directed,309
RU,UA,Directed,184
DE,RU,Directed,184
KZ,RU,Directed,184
IT,RU,Directed,184
RU,IT,Directed,184
RU,NL,Directed,184
RU,US,Directed,309
RU,DE,Directed,184
ME,RU,Directed,184
HU,RU,Directed,184
TR,RU,Directed,184
RU,FR,Directed,184
ES,RU,Directed,184
IT,RU,Directed,184
RU,GB,Directed,184
RS,RU,Directed,184
AT,RU,Directed,184
RU,DE,Directed,184
RU,CZ,Directed,184
CH,RU,Directed,184
SE,RU,Directed,184
RU,BG,Directed,184
BY,RU,Directed,184
ES,RU,Directed,184
DK,RU,Directed,184
RU,BE,Directed,184
PL,RU,Directed,184
DE,RU,Directed,184
RU,IN,Directed,309
NO,RU,Directed,184
DE,RU,Directed,184
CH,RU,Directed,184
RU,DE,Directed,184
AZ,RU,Directed,184
FR,RU,Directed,184
CZ,RU,Directed,184
AM,RU,Directed,184
BY,RU,Directed,184
CY,RU,Directed,184
NL,RU,Directed,309
RU,DE,Directed,184
AR,IT,Directed,309
AR,US,Directed,309
AR,ES,Directed,309
AR,CO,Directed,309
BR,AR,Directed,184
DE,US,Directed,309
DE,TH,Directed,309
IN,DE,Directed,309
DE,CN,Directed,309
AE,DE,Directed,309
HK,DE,Directed,309
DE,JP,Directed,309
US,GB,Directed,309
BH,HK,Directed,309
MX,AR,Directed,309
MX,KR,Directed,309
MX,NL,Directed,309
MX,GB,Directed,309
MX,FR,Directed,309
JP,MX,Directed,309
MX,JP,Directed,309
MX,CA,Directed,184
CA,MX,Directed,184
US,MX,Directed,184
CN,MX,Directed,309
CR,MX,Directed,184
MX,US,Directed,184
US,MX,Directed,184
US,MX,Directed,309
US,MX,Directed,309
CN,FR,Directed,309
FR,DZ,Directed,184
FR,PT,Directed,184
FR,DZ,Directed,184
JO,DZ,Directed,184
DZ,TR,Directed,184
FR,DZ,Directed,184
FR,DZ,Directed,184
FR,DZ,Directed,184
DZ,FR,Directed,309
DZ,CH,Directed,184
FR,DZ,Directed,184
FR,DZ,Directed,184
LB,DZ,Directed,184
GP,DO,Directed,184
AE,BD,Directed,184
AE,SD,Directed,184
AE,IN,Directed,184
AE,LB,Directed,184
AE,LK,Directed,184
AE,EG,Directed,184
AE,IN,Directed,184
AE,NP,Directed,184
AE,AM,Directed,184
AE,SA,Directed,184
FR,MA,Directed,184
IT,MA,Directed,184
DE,MA,Directed,184
NL,MA,Directed,184
AE,SA,Directed,184
IR,AE,Directed,184
FR,MA,Directed,184
IR,AE,Directed,184
AE,SA,Directed,184
IT,MA,Directed,184
AE,BD,Directed,184
KE,AE,Directed,184
RU,AE,Directed,184
AE,KW,Directed,184
AE,IQ,Directed,184
FR,MA,Directed,184
BE,MA,Directed,184
AE,SA,Directed,184
EG,AE,Directed,184
SA,AE,Directed,184
OM,AE,Directed,184
SA,AE,Directed,184
PK,AE,Directed,184
AE,NP,Directed,184
AE,OM,Directed,184
SA,EG,Directed,184
AE,SA,Directed,184
SA,AE,Directed,184
AE,IN,Directed,184
AE,SA,Directed,184
TH,KZ,Directed,184
KZ,GB,Directed,184
KZ,DE,Directed,184
NL,KZ,Directed,184
KZ,RU,Directed,184
KZ,KG,Directed,184
GB,LV,Directed,184
LV,ES,Directed,184
SE,LV,Directed,184
LV,LT,Directed,184
FI,LV,Directed,184
AT,EE,Directed,184
AE,GB,Directed,309
KR,KH,Directed,184
JP,KR,Directed,184
KR,VN,Directed,184
KR,PH,Directed,184
SA,EG,Directed,184
EG,SA,Directed,184
SA,EG,Directed,184
AU,CA,Directed,309
IN,CA,Directed,309
AU,CA,Directed,309
CA,IN,Directed,309
CA,IN,Directed,309
CA,BR,Directed,309
CA,AU,Directed,309
CA,AU,Directed,309
CA,AU,Directed,309
HK,CA,Directed,309
CA,IN,Directed,309
GB,CA,Directed,309
BE,CA,Directed,309
DE,CA,Directed,309
DE,CA,Directed,309
KR,CA,Directed,309
JP,CA,Directed,309
JP,CA,Directed,309
CN,CA,Directed,309
US,CA,Directed,184
IT,CA,Directed,309
IL,CA,Directed,309
IE,CA,Directed,309
NL,CA,Directed,309
TW,CA,Directed,309
CN,CA,Directed,309
CN,CA,Directed,309
CN,CA,Directed,309
FR,CA,Directed,309
US,CA,Directed,184
GB,CA,Directed,184
US,CA,Directed,184
DE,CA,Directed,309
IL,CA,Directed,309
US,CA,Directed,184
CN,CA,Directed,309
US,CA,Directed,184
CA,US,Directed,184
CA,US,Directed,184
CA,US,Directed,184
CA,US,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
CA,US,Directed,184
US,CA,Directed,184
CA,US,Directed,184
US,CA,Directed,184
HK,CA,Directed,309
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
GB,CA,Directed,309
CA,US,Directed,184
GB,CA,Directed,309
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
US,CA,Directed,184
CA,US,Directed,184
CA,US,Directed,184
DE,CA,Directed,309
PE,CA,Directed,309
US,CA,Directed,309
CA,MX,Directed,309
CA,US,Directed,309
CA,US,Directed,309
CA,CU,Directed,184
CA,MX,Directed,309
US,CA,Directed,184
CA,GD,Directed,184
CU,CA,Directed,184
FR,BS,Directed,309
FR,GP,Directed,309
FR,MQ,Directed,309
CN,US,Directed,309
CN,DE,Directed,309
CN,US,Directed,309
CN,US,Directed,309
CN,GB,Directed,309
CN,US,Directed,309
CN,US,Directed,309
CN,FR,Directed,309
CN,IT,Directed,309
CN,CA,Directed,309
CN,DE,Directed,309
CN,SE,Directed,309
CN,RU,Directed,309
CN,GB,Directed,309
US,CN,Directed,309
ES,BR,Directed,309
NZ,CN,Directed,309
US,CN,Directed,309
CN,ID,Directed,309
CN,US,Directed,309
CN,CA,Directed,309
CN,US,Directed,309
SG,CN,Directed,184
CN,SG,Directed,309
CN,MY,Directed,309
JP,CN,Directed,184
CN,TH,Directed,184
TH,CN,Directed,184
CN,HK,Directed,184
HK,CN,Directed,184
ES,CN,Directed,309
AU,CN,Directed,309
CN,AE,Directed,309
TH,CN,Directed,184
HK,CN,Directed,309
CN,TH,Directed,184
VN,CN,Directed,184
CN,HK,Directed,184
TW,CN,Directed,184
JP,CN,Directed,184
JP,CN,Directed,309
CN,LK,Directed,309
AU,CN,Directed,309
IT,CN,Directed,309
HK,CN,Directed,184
CN,AE,Directed,309
TH,CN,Directed,184
TW,CN,Directed,309
CN,KR,Directed,184
CH,CN,Directed,309
TW,CN,Directed,184
DE,CN,Directed,309
CN,PH,Directed,309
CN,MM,Directed,184
FR,CN,Directed,309
FR,CN,Directed,309
CN,AU,Directed,309
FR,CN,Directed,309
TW,CN,Directed,184
CN,TH,Directed,184
CN,IN,Directed,309
VN,CN,Directed,184
CN,TH,Directed,309
JP,CN,Directed,184
CN,TH,Directed,184
CN,VN,Directed,184
TH,CN,Directed,309
CN,NL,Directed,309
BE,CN,Directed,309
CN,US,Directed,309
CI,NE,Directed,184
CI,SN,Directed,184
DE,IT,Directed,184
DE,IT,Directed,184
IT,DE,Directed,184
RO,DE,Directed,184
IT,DE,Directed,184
IT,DE,Directed,184
IT,DE,Directed,184
ES,IL,Directed,309
DE,ES,Directed,184
IT,ES,Directed,184
DE,ES,Directed,184
GB,ES,Directed,184
NL,ES,Directed,309
CH,ES,Directed,184
ES,FR,Directed,184
PT,ES,Directed,184
FR,ES,Directed,184
ES,IT,Directed,184
FR,AR,Directed,309
FR,CL,Directed,309
KR,FR,Directed,309
JP,FR,Directed,309
JP,FR,Directed,309
CN,FR,Directed,309
PE,FR,Directed,309
CN,FR,Directed,309
JP,FR,Directed,309
TH,FR,Directed,309
US,FR,Directed,309
KE,FR,Directed,309
FR,US,Directed,309
CO,FR,Directed,309
FR,US,Directed,309
FR,ML,Directed,309
FR,BR,Directed,309
FR,US,Directed,309
FR,IN,Directed,309
FR,IN,Directed,309
FR,IN,Directed,309
FR,US,Directed,309
FR,MA,Directed,184
FR,CG,Directed,309
FR,US,Directed,309
FR,US,Directed,309
FR,NE,Directed,309
FR,MG,Directed,309
FR,GF,Directed,309
FR,MX,Directed,309
FR,DO,Directed,309
EG,FR,Directed,309
FR,AN,Directed,309
FR,IL,Directed,184
FR,US,Directed,309
FR,DZ,Directed,184
MA,FR,Directed,184
FR,CD,Directed,309
IT,FR,Directed,184
FR,GP,Directed,309
FR,IT,Directed,184
IT,FR,Directed,184
FR,AT,Directed,184
FR,IT,Directed,184
FR,ES,Directed,184
FR,MA,Directed,184
ES,FR,Directed,184
SE,FR,Directed,184
GB,FR,Directed,184
FR,DK,Directed,184
FR,GA,Directed,309
FR,IE,Directed,184
FR,NL,Directed,184
CH,FR,Directed,184
FR,CZ,Directed,184
FR,IT,Directed,184
PL,FR,Directed,184
FR,MX,Directed,309
NL,FR,Directed,184
FR,MA,Directed,184
FR,CH,Directed,184
FR,RU,Directed,184
FR,GB,Directed,184
FR,DE,Directed,184
MQ,GF,Directed,184
FR,DE,Directed,184
FR,CM,Directed,309
FR,CH,Directed,184
FR,JP,Directed,309
RU,FR,Directed,184
RE,MG,Directed,309
DK,GL,Directed,309
JP,HK,Directed,309
JP,HK,Directed,309
MY,VN,Directed,309
IN,US,Directed,309
IN,US,Directed,309
IN,GB,Directed,309
IN,SG,Directed,184
IN,FR,Directed,309
IN,GB,Directed,309
IN,DE,Directed,309
IN,AU,Directed,309
IN,CN,Directed,309
IN,DK,Directed,309
GB,IN,Directed,309
IN,IT,Directed,309
IN,GB,Directed,309
AE,IN,Directed,309
IN,ES,Directed,309
HK,IN,Directed,309
IN,TH,Directed,184
IN,SA,Directed,309
IN,SA,Directed,184
LK,IN,Directed,184
AE,IN,Directed,184
IN,IL,Directed,309
SG,IN,Directed,309
IN,SA,Directed,309
MV,IN,Directed,184
IN,AE,Directed,184
IN,AE,Directed,184
IN,AE,Directed,184
